id,name,store,price,type,units,package weight,price for unit
87,драже m&m's,лента,119.99,декор,г,80.0,149.98749999999998
88,шоколад молочный щедрая душа,лента,94.99,продукты,г,80.0,118.7375
89,шоколад белый воздушный 80 г,лента,119.99,продукты,г,80.0,149.98749999999998
90,шоколад темный щедрая душа,лента,99.99,продукты,г,80.0,124.9875
91,ананасы кусочками лента,лента,169.99,продукты,мл,580.0,29.308620689655175
92,желатин лента,лента,89.99,продукты,г,50.0,179.98
93,какао масло,ольга,1700.0,декор,г,250.0,680.0
94,фотопечать,ольга,250.0,декор,шт,1.0,250.0
95,масло сливочное,ольга,500.0,продукты,г,450.0,111.1111111111111
96,сливки 33%,ольга,500.0,продукты,мл,1000.0,50.0
97,шантипак,ольга,290.0,продукты,мл,1000.0,29.0
98,шоколад молочный вес,ольга,1600.0,продукты,г,1000.0,160.0
99,шоколад белый вес,ольга,800.0,продукты,г,500.0,160.0
100,манго пюре,ольга,900.0,продукты,г,1000.0,90.0
101,маракуйя пюре,ольга,950.0,продукты,г,1000.0,95.0
102,желатин листовой,ольга,2600.0,продукты,г,1000.0,260.0
103,подложка фанера 30 см,ольга,80.0,упаковка,шт,1.0,80.0
104,подложка квадрат 30*30,ольга,80.0,упаковка,шт,1.0,80.0
105,лента упаковочная,ольга,130.0,упаковка,шт,1.0,130.0
106,подложка 24*24,ольга,45.0,упаковка,шт,1.0,45.0
107,коробка 36*36*40 белая окно,ольга,170.0,упаковка,шт,1.0,170.0
108,коробка 30*30*13 белая окно,ольга,75.0,упаковка,шт,1.0,75.0
109,коробка 30*30*19 белая окно,ольга,85.0,упаковка,шт,1.0,85.0
110,коробка 30*40*20 белая окно,ольга,160.0,упаковка,шт,1.0,160.0
111,посыпка белая микс,ольга,280.0,декор,уп,1.0,280.0
112,кружево,ольга,300.0,декор,уп,1.0,300.0
113,изомальт,ольга,1100.0,декор,г,1000.0,110.0
114,корона ,ольга,850.0,декор,шт,1.0,850.0
115,подложка фанера 24 см,ольга,60.0,упаковка,шт,1.0,60.0
116,подложка 8 см,ольга,140.0,упаковка,шт,50.0,2.8
117,сливки кокосовые,ольга,420.0,продукты,мл,500.0,84.0
118,сыр сливочный хохланд 10 кг,ольга,5900.0,продукты,г,10000.0,59.0
119,малина пюре,ольга,950.0,продукты,г,1000.0,95.0
120,вишня с/м,ольга,580.0,продукты,г,1000.0,58.0
121,глазурь белая,ольга,700.0,декор,г,1000.0,70.0
122,коробка кап9,ольга,75.0,упаковка,шт,1.0,75.0
123,коробка 30*30*30 белая окно,ольга,120.0,упаковка,шт,1.0,120.0
124,свечи золотые маленькие,ольга,65.0,декор,уп,1.0,65.0
125,блестки золото,ольга,200.0,декор,шт,1.0,200.0
126,сыр сливочный 2.2 кг,ольга,1500.0,продукты,г,2200.0,68.18181818181819
127,разрыхлитель весовой,ольга,540.0,продукты,г,1000.0,54.0
128,свечи золотые изогнутые,ольга,75.0,декор,уп,1.0,75.0
129,коробка 42*42*45 белая окно,ольга,180.0,упаковка,шт,1.0,180.0
130,грецкий орех,ольга,900.0,продукты,г,1000.0,90.0
131,мастика ,ольга,400.0,декор,г,1000.0,40.0
132,кандурин золото,ольга,450.0,декор,уп,1.0,450.0
133,шоколад темный вес,ольга,1550.0,продукты,г,1000.0,155.0
134,глазурь темная,ольга,560.0,декор,г,1000.0,56.0
135,трайфлы,ольга,1200.0,упаковка,шт,100.0,12.0
136,коробка кап6,ольга,60.0,упаковка,шт,1.0,60.0
137,яйцо с0 365 дней,лента,99.99,продукты,шт,10.0,9.998999999999999
138,малина с/м,ольга,1600.0,продукты,г,1000.0,160.0
139,какао,лента,50.0,продукты,г,90.0,55.55555555555556
140,сода,лента,45.0,продукы,г,500.0,9.0
141,уксус,лента,60.0,продукты,мл,250.0,24.0
