id;name;packing;store;price;type
113;изомальт;1 кг;ольга;1100.00;декор
114;корона ;1 шт;ольга;850.00;декор
115;подложка фанера 24 см;1 шт;ольга;60.00;упаковка
116;подложка 8 см;50 шт;ольга;140.00;упаковка
117;сливки кокосовые;500 мл;ольга;420.00;продукты
118;сыр сливочный хохланд 10 кг;10 кг;ольга;5900.00;продукты
119;малина пюре;1 кг;ольга;950.00;продукты
120;вишня с/м;1 кг;ольга;580.00;продукты
121;глазурь белая;1 кг;ольга;700.00;декор
122;коробка кап9;1 шт;ольга;75.00;упаковка
123;коробка 30*30*30 белая окно;1 шт;ольга;120.00;упаковка
124;свечи золотые маленькие;1 упаковка;ольга;65.00;декор
125;блестки золото;1 шт;ольга;200.00;декор
126;сыр сливочный 2.2 кг;2,2 кг;ольга;1500.00;продукты
127;разрыхлитель весовой;1 кг;ольга;540.00;продукты
128;свечи золотые изогнутые;1 упаковка;ольга;75.00;декор
129;коробка 42*42*45 белая окно;1 шт;ольга;180.00;упаковка
130;грецкий орех;1 кг;ольга;900.00;продукты
131;мастика ;1 кг;ольга;400.00;декор
132;кандурин золото;1 упаковка;ольга;450.00;декор
133;шоколад темный вес;1 кг;ольга;1550.00;продукты
134;глазурь темная;1 кг;ольга;560.00;декор
135;трайфлы;100 шт;ольга;1200.00;упаковка
136;коробка кап6;1 шт;ольга;60.00;упаковка
137;яйцо с0 365 дней;10 штук;лента;99.99;продукты
138;малина с/м;1 кг;ольга;1600.00;продукты
139;какао;90 г;лента;50.00;продукты
140;сода;500 г;лента;45.00;продукы
141;уксус;250 мл;лента;60.00;продукты
